Year,Distributor,Films on release,Box office gross (Â£ million),Market share
2018,Walt Disney,24,325.6,23.6
2018,Universal,40,268.5,19.5
2018,20th Century Fox,28,199.3,14.5
2018,Warner Bros,31,191.4,13.9
2018,Sony,33,146.8,10.7
2018,Paramount,12,66.0,4.8
2018,eOne Films,22,43.9,3.2
2018,StudioCanal,31,38.4,2.8
2018,Lionsgate,21,21.2,1.5
2018,Entertainment,9,15.6,1.1
2018,Others (128 distributors),715,61.4,4.5
2019,Walt Disney,24,506.8,37.9
2019,Universal,39,185.6,13.9
2019,Warner Bros,40,166.3,12.4
2019,Sony,27,124.7,9.3
2019,Paramount,13,79.0,5.9
2019,20th Century Fox*,30,75.5,5.7
2019,Lionsgate,19,56.4,4.2
2019,Entertainment One,27,50.4,3.8
2019,STX Entertainment,7,15.4,1.2
2019,StudioCanal,22,14.0,1.0
2019,Others (Total 130 distributors),671,61.6,4.6
2020,Entertainment One,30,49.4,15.9
2020,Sony,38,48.4,15.6
2020,Walt Disney,58,44.3,14.3
2020,Universal,73,39.0,12.5
2020,Warner Bros,89,36.5,11.7
2020,Paramount,22,25.0,8.0
2020,Lionsgate,29,14.0,4.5
2020,StudioCanal,46,13.9,4.5
2020,Entertainment Film Distributors,6,13.3,4.3
2020,Shear Entertainment*,1,4.0,1.3
2020,Other distributors (143),534,23.2,7.5
2021,Universal,51,180.8,30.6
2021,Sony,52,130.8,22.2
2021,Walt Disney,63,125.1,21.2
2021,Warner Bros,80,84.7,14.4
2021,Paramount,16,21.8,3.7
2021,Lionsgate,23,10.5,1.8
2021,Entertainment One,12,8.1,1.4
2021,Park Circus,96,3.4,0.6
2021,STX Entertainment,3,3.4,0.6
2021,StudioCanal,36,2.7,0.5
2021,Other distributors (137),549,19.0,3.2
